Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-08-08,26.58582305908203,45.890625,45.9375,45.78125,45.828125,328600,1994-08-08
1994-08-09,26.631103515625,45.96875,45.96875,45.71875,45.71875,105900,1994-08-09
1994-08-10,26.730670928955078,46.140625,46.1875,45.9375,46.0,840300,1994-08-10
1994-08-11,26.631103515625,45.96875,46.234375,45.734375,46.03125,876200,1994-08-11
1994-08-12,26.839296340942383,46.328125,46.34375,46.046875,46.046875,184100,1994-08-12
1994-08-15,26.830245971679688,46.3125,46.484375,46.3125,46.375,325900,1994-08-15
1994-08-16,27.020341873168945,46.640625,46.6875,46.15625,46.34375,1089500,1994-08-16
1994-08-17,27.00223159790039,46.609375,46.734375,46.578125,46.703125,133700,1994-08-17
1994-08-18,26.911706924438477,46.453125,46.5625,46.40625,46.453125,620000,1994-08-18
1994-08-19,26.893604278564453,46.421875,46.515625,46.3125,46.46875,103200,1994-08-19
1994-08-22,26.866456985473633,46.375,46.4375,46.28125,46.4375,79700,1994-08-22
1994-08-23,27.020341873168945,46.640625,46.859375,46.515625,46.578125,268600,1994-08-23
1994-08-24,27.31000518798828,47.140625,47.140625,46.671875,46.6875,254700,1994-08-24
1994-08-25,27.237579345703125,47.015625,47.203125,46.890625,47.09375,147400,1994-08-25
1994-08-26,27.626819610595703,47.6875,47.78125,47.125,47.125,339500,1994-08-26
1994-08-29,27.60871696472168,47.65625,47.984375,47.640625,47.8125,350300,1994-08-29
1994-08-30,27.681133270263672,47.78125,47.859375,47.578125,47.640625,36000,1994-08-30
1994-08-31,27.60871696472168,47.65625,47.890625,47.59375,47.703125,356200,1994-08-31
1994-09-01,27.518205642700195,47.5,47.53125,47.328125,47.5,294600,1994-09-01
1994-09-02,27.400514602661133,47.296875,47.71875,47.21875,47.71875,99600,1994-09-02
1994-09-06,27.409576416015625,47.3125,47.359375,47.125,47.265625,229800,1994-09-06
1994-09-07,27.38240623474121,47.265625,47.421875,47.21875,47.421875,27900,1994-09-07
1994-09-08,27.518205642700195,47.5,47.5625,47.34375,47.359375,284800,1994-09-08
1994-09-09,27.22854232788086,47.0,47.125,46.8125,47.03125,488400,1994-09-09
1994-09-12,27.147058486938477,46.859375,47.0625,46.78125,47.0,129400,1994-09-12
